21.07.2014 03:55:34: Brave Sir Robin (124.170.124.18:2804) a84052abee928d5b0e63199928fb71de - #0 "DefaultMagazines" = ["ItemBandage","ItemBandage","ItemBandage","ItemPainkiller","ItemWaterbottle","FoodPistachio","17Rnd_9x19_glock17","17Rnd_9x19_glock17","17Rnd_9x19_glock17"]
21.07.2014 04:03:26: Brave Sir Robin (124.170.124.18:2804) a84052abee928d5b0e63199928fb71de - #0 "DefaultMagazines" = ["ItemBandage","ItemBandage","ItemBandage","ItemPainkiller","ItemWaterbottle","FoodPistachio","17Rnd_9x19_glock17","17Rnd_9x19_glock17","17Rnd_9x19_glock17"]
21.07.2014 12:46:41: bj (71.48.19.55:2804) 13b445f3b4c8ddbe14104551ca8036c9 - #0 "DefaultMagazines" = ["ItemBandage","ItemBandage","ItemBandage","ItemPainkiller","ItemWaterbottle","FoodPistachio","17Rnd_9x19_glock17","17Rnd_9x19_glock17","17Rnd_9x19_glock17"]
22.07.2014 01:11:48: Harbo (124.182.237.60:57363) 5fca75bd5bb4cea716b6a96b4613cd4f - #0 "DefaultMagazines" = ["ItemBandage","ItemBandage","ItemBandage","ItemPainkiller","ItemWaterbottle","FoodPistachio","17Rnd_9x19_glock17","17Rnd_9x19_glock17","17Rnd_9x19_glock17"]
22.07.2014 04:02:45: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "DZE_WMOD_INVENTORY" = [<NULL-object>,true]
22.07.2014 05:22:25: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "admin_Log" = ["[ADMIN TOOLS] - SPAWN TEMP VEHICLE - Admin Name: Brave Sir Robin UID: 106895494 Vehicle: UH60M_EP1 POS: [2151.05,12857.2,0.00158691]"]
22.07.2014 05:37:01: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "admin_Log" = ["[ADMIN TOOLS] - DATABASE DELETE - Admin Name: Brave Sir Robin UID: 106895494 POS: [2152.37,12848.5,0.00119019] Object: 259a50c0# 1055182: uh60m.p3d REMOTE ObjectID: 0 ObjectUID"]
22.07.2014 05:55:15: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "admin_Log" = ["[ADMIN TOOLS] - SPAWN TEMP VEHICLE - Admin Name: Brave Sir Robin UID: 106895494 Vehicle: UH60M_EP1 POS: [2152.37,12848.5,0.0015564]"]
22.07.2014 06:18:21: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "admin_Log" = ["[ADMIN TOOLS] - SPAWN TEMP VEHICLE - Admin Name: Brave Sir Robin UID: 106895494 Vehicle: UH60M_EP1 POS: [5419.1,9133.94,0.00170898]"]
22.07.2014 06:25:22: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "admin_Log" = ["[ADMIN TOOLS] - SPAWNED WEAPONS CRATE  - Admin Name: Brave Sir Robin UID: 106895494 Position: [5422.11,9135.39,0.00149536] "]
22.07.2014 06:42:24: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "admin_Log" = ["[ADMIN TOOLS] - SPAWNED WEAPONS CRATE  - Admin Name: Brave Sir Robin UID: 106895494 Position: [5422.11,9135.39,0.00137329] "]
22.07.2014 07:21:54: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "admin_Log" = ["[ADMIN TOOLS] - SPAWNED WEAPONS CRATE  - Admin Name: Brave Sir Robin UID: 106895494 Position: [5423.08,9142.32,0.00125122] "]
22.07.2014 07:51:08: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - Value Restriction #32 "admin_Log" = ["[ADMIN TOOLS] - SPAWNED WEAPONS CRATE  - Admin Name: Brave Sir Robin UID: 106895494 Position: [5423.08,9142.32,0.00140381] "]
22.07.2014 08:00:14: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - Value Restriction #17 "admin_Log" = ["[ADMIN TOOLS] - SPAWNED WEAPONS CRATE  - Admin Name: Brave Sir Robin UID: 106895494 Position: [5423.08,9142.32,0.00119019] "]
22.07.2014 08:00:31: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - Value Restriction #17 "admin_Log" = ["[ADMIN TOOLS] - SPAWN TEMP VEHICLE - Admin Name: Brave Sir Robin UID: 106895494 Vehicle: UH60M_EP1 POS: [5421.3,9140.4,0.00158691]"]
