22.07.2014 04:01:55: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "avionicsfailure" = true 2:11348 
22.07.2014 04:01:55: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "avionicsfailure" = true 2:11332 
22.07.2014 04:02:38: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587447 2:6912 UralWreck
22.07.2014 04:02:38: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587447 2:6912 UralWreck
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "temperature" = 40 3:22 Survivor2_DZ
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "friendlies" = [] 3:22 Survivor2_DZ
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587447 2:6913 UAZWreck
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587447 2:6913 UAZWreck
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "looted" = 0.587447 2:6910 datsun02Wreck
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587447 2:6910 datsun02Wreck
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587447 2:6910 datsun02Wreck
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587447 2:6909 HMMWVWreck
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587447 2:6909 HMMWVWreck
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587447 2:6911 hiluxWreck
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587447 2:6911 hiluxWreck
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "looted" = 0.587447 2:6861 UralWreck
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587447 2:6861 UralWreck
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587447 2:6861 UralWreck
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "looted" = 0.587447 2:6858 Mass_grave_DZ
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587447 2:6858 Mass_grave_DZ
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587447 2:6858 Mass_grave_DZ
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "looted" = 0.587447 2:6864 Land_Ind_Garage01
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587447 2:6864 Land_Ind_Garage01
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587447 2:6864 Land_Ind_Garage01
22.07.2014 04:02:40: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "looted" = 0.587447 2:6865 Land_KBud
22.07.2014 04:02:41: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587447 2:6865 Land_KBud
22.07.2014 04:02:41: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587447 2:6865 Land_KBud
22.07.2014 04:02:41: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "looted" = 0.587447 2:6904 GraveCross1
22.07.2014 04:02:41: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587447 2:6904 GraveCross1
22.07.2014 04:02:41: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587447 2:6904 GraveCross1
22.07.2014 04:02:41: Brave Sir Robin (119.17.38.242:51564) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587447 2:6866 Land_Misc_Cargo1Ao
